GPS,_GPS_latitude,_GPS_longitude,_GPS_altitude,_GPS_precision,_Town_VDC_Village,Please_take_a_photo_when_possi,Gender,Age,receive_relief,government,ngo,youth_groups,neighbours,relatives,others,1_day,2_4_days,5_7_days,8__days,food,formof_relief/sanitation,formof_relief/emergency_medi_1,formof_relief/cash,formof_relief/tents,formof_relief/building_mater,formof_relief/others,top_priority/employment,top_priority/foreign_employ,top_priority/education,top_priority/rebuilding,top_priority/farm_business,top_priority/not_sure,Any_comments,start,end,today,username,simserial,subscriberid,deviceid,phonenumber,meta/instanceID,_uuid,_submission_time,_tags,_notes
n/a,n/a,n/a,n/a,n/a,Bhaktapur-14,n/a,female,49,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Faith on God,2015-08-25T17:54:55.000+06:45,2015-08-25T17:57:04.000+06:45,8/25/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:e83a8dcc-ea6b-49ec-b8f8-320e24b607ad,e83a8dcc-ea6b-49ec-b8f8-320e24b607ad,2015-08-25T12:12:07,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-14,n/a,male,68,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No words for anyone...,2015-08-25T17:57:05.000+06:45,2015-08-25T17:57:48.000+06:45,8/25/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:d1b83b53-d6b5-4c4e-9216-0951743093ac,d1b83b53-d6b5-4c4e-9216-0951743093ac,2015-08-25T12:12:50,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-14,n/a,male,31,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Rather than providing temporary reliefs like cash and tents, it would be helpful if providing employment and awareness programmes are focused.",2015-08-27T14:04:42.000+06:45,2015-08-27T14:08:15.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:8d26ca75-698a-4f58-b34f-49953227d8a5,8d26ca75-698a-4f58-b34f-49953227d8a5,2015-08-27T08:23:23,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-16,n/a,male,38,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,We are middle class family. Our top priority is rebuilding. I m hoping for loan in low interest.,2015-08-27T19:22:26.000+06:45,2015-08-27T19:29:03.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:e6056f12-43ce-44c8-8d63-c45d7527ea6c,e6056f12-43ce-44c8-8d63-c45d7527ea6c,2015-08-27T13:44:06,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-16,n/a,male,53,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I m a religious person. What I want to see is reconstruction of cultural heritage as soon as possible. Personally I want financial help from government to rebuild my home.,2015-08-27T19:29:04.000+06:45,2015-08-27T19:42:31.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:82774333-7550-437b-833f-73b8218a30b5,82774333-7550-437b-833f-73b8218a30b5,2015-08-27T13:58:04,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-5,n/a,male,62,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Distribution should be proportionate. Actual victims should  be identified.,2015-08-24T18:14:03.000+06:45,2015-08-24T18:15:54.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:c2ee5a15-6637-46dc-b18f-b49dfcef94ab,c2ee5a15-6637-46dc-b18f-b49dfcef94ab,2015-08-24T12:30:58,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-5,n/a,male,82,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Waiting on miracle to happen...,2015-08-24T18:15:54.000+06:45,2015-08-24T18:17:20.000+06:45,8/24/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:40c0f3ff-e77f-4834-8a54-cad6f1ea3f42,40c0f3ff-e77f-4834-8a54-cad6f1ea3f42,2015-08-24T12:32:22,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-8,n/a,male,48,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,The relief programmes should be equally distributed. Government should be focus on providing jobs and reconstruction.,2015-08-25T17:46:31.000+06:45,2015-08-25T17:50:01.000+06:45,8/25/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:b43883e1-17af-4f20-828d-ad465ee92bf9,b43883e1-17af-4f20-828d-ad465ee92bf9,2015-08-25T12:05:03,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur-8,n/a,male,21,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,We expect government to provide us employment and stable political influence on relief distribution,2015-08-25T17:51:47.000+06:45,2015-08-25T17:53:27.000+06:45,8/25/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:ae12ac24-9417-4c62-9382-f24539058a43,ae12ac24-9417-4c62-9382-f24539058a43,2015-08-25T12:08:29,,
n/a,n/a,n/a,n/a,n/a,"Bhaktapur,katunjey",n/a,male,29,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,We youth want political stability. Political influences are t,2015-08-27T19:42:32.000+06:45,2015-08-27T19:44:09.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:318ed201-81b5-469b-8abd-0218b372b9d8,318ed201-81b5-469b-8abd-0218b372b9d8,2015-08-27T13:59:11,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,male,35,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Relief fund should be distributed equally to all victims,2015-08-27T09:28:01.000+06:45,2015-08-27T09:35:18.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:f2b4981e-8d02-4fdf-b4ed-63f7f661c500,f2b4981e-8d02-4fdf-b4ed-63f7f661c500,2015-08-27T03:50:20,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,male,42,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,People are worried about their future ....,2015-08-27T09:35:18.000+06:45,2015-08-27T09:36:38.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:837f3cc6-6183-441d-b088-e502c2335a73,837f3cc6-6183-441d-b088-e502c2335a73,2015-08-27T03:51:40,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,female,58,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,In future their children should be provided job opportunities,2015-08-27T09:36:38.000+06:45,2015-08-27T09:39:38.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:0752cdb7-ace6-4fc3-add0-911ff5b552f5,0752cdb7-ace6-4fc3-add0-911ff5b552f5,2015-08-27T03:54:52,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,male,78,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Ashamed of government policies,2015-08-27T09:39:38.000+06:45,2015-08-27T09:40:54.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:b9b8e5ec-eb31-4c6d-9a65-d1c873fbfbba,b9b8e5ec-eb31-4c6d-9a65-d1c873fbfbba,2015-08-27T03:55:57,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,male,29,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Heartly thankful to those helping hands,2015-08-27T09:40:55.000+06:45,2015-08-27T09:44:21.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:6bd7359b-a995-4d13-a99a-01b5d5d7a054,6bd7359b-a995-4d13-a99a-01b5d5d7a054,2015-08-27T03:59:23,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,male,45,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Agricultural sector should considered as developing required sector.,2015-08-27T09:49:35.000+06:45,2015-08-27T09:51:18.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:b8d82d87-e523-4f62-93b8-a66e91534df0,b8d82d87-e523-4f62-93b8-a66e91534df0,2015-08-27T04:06:21,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,female,41,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Thanks for the organisation who provide us the relief materials. But we also expect government to be focusing on providing easy loans for reconstruction and agricultural production.,2015-08-27T14:01:58.000+06:45,2015-08-27T14:04:41.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:f2686b79-853e-47c4-af75-38b7436425b6,f2686b79-853e-47c4-af75-38b7436425b6,2015-08-27T08:19:44,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur12,n/a,male,39,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,People are in search of job opportunities for their further life,2015-08-27T19:17:15.000+06:45,2015-08-27T19:18:32.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:0a1de815-9206-4971-9b50-6fdb81a9d6c7,0a1de815-9206-4971-9b50-6fdb81a9d6c7,2015-08-27T13:33:34,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur16,n/a,female,57,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Relief fund was not sufficient for those victims,2015-08-27T19:18:32.000+06:45,2015-08-27T19:20:28.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:b345973b-80a4-436b-9587-099c4309f138,b345973b-80a4-436b-9587-099c4309f138,2015-08-27T13:35:30,,
n/a,n/a,n/a,n/a,n/a,Bhaktapur16,n/a,male,34,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Rather then providing those temporary funds and help people are waiting for some permanent help,2015-08-27T19:20:28.000+06:45,2015-08-27T19:22:26.000+06:45,8/27/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:fe85be58-4643-4a64-8dbe-6c67f9f1bbb2,fe85be58-4643-4a64-8dbe-6c67f9f1bbb2,2015-08-27T13:37:29,,
n/a,n/a,n/a,n/a,n/a,BhaktPur,n/a,female,35,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Government should expirement soil for building earth quake resistance housing,2015-08-26T08:18:55.000+06:45,2015-08-26T08:22:46.000+06:45,8/26/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:2B0ZDPaXlg6waTlp,no phonenumber property in enketo,uuid:855968da-7b1b-4b37-ba9f-259e36eb894e,855968da-7b1b-4b37-ba9f-259e36eb894e,2015-08-27T13:27:25,,
n/a,n/a,n/a,n/a,n/a,Boad Camp,n/a,female,21,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tatopani, Sindupalchowk. I want to have a job here and live here. I dont want to go to village. Its risky and we doubt if we could resettle there. If I could get my family under shelter then I would look for job to bear our expenses.This camp is not going to last long and we have no other option than returning home",2015-09-08T10:15:42.000+06:45,2015-09-08T10:23:30.000+06:45,09/08/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:8c0b04a8-5931-4805-a4a4-a38621f0043a,8c0b04a8-5931-4805-a4a4-a38621f0043a,2015-09-08T06:16:03,,
n/a,n/a,n/a,n/a,n/a,Bode bazar,n/a,male,48,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,We want low interest loan from government so that we can rebuild our house,2015-09-07T15:56:11.000+06:45,2015-09-07T15:57:45.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:77569b9c-ae6f-412a-be74-287c26fbcab4,77569b9c-ae6f-412a-be74-287c26fbcab4,2015-09-07T10:12:48,,
n/a,n/a,n/a,n/a,n/a,Bode bazar,n/a,male,46,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Expecting some financial help from government and other helping for rebuilding,2015-09-07T15:57:45.000+06:45,2015-09-07T15:59:23.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:835d8ca7-dfea-4cee-9c70-9cabfa09f0d4,835d8ca7-dfea-4cee-9c70-9cabfa09f0d4,2015-09-07T10:14:28,,
n/a,n/a,n/a,n/a,n/a,Bode bazar,n/a,male,40,Yes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,If anyone wants to help to quake victims then the best way to help is that they should help in rebuilding.,2015-09-07T15:59:23.000+06:45,2015-09-07T16:01:23.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:xJwLV4xqQ8rUEiXQ,no phonenumber property in enketo,uuid:6843d7ed-3c6c-49ee-b6d4-024631bb8fd3,6843d7ed-3c6c-49ee-b6d4-024631bb8fd3,2015-09-07T10:16:47,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,female,50,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Tatopani-7, Sindupalchowk. We are grateful to chinese organisation. we are not having any kind of communicatin with government or government officials. After this camp we have no place to go. I know government will do nothing for us. I hope some kind of help will arrive for us for our resettlement.",2015-09-07T09:03:30.000+06:45,2015-09-07T09:10:18.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:d9e60802-62f3-4636-aabd-f1a3ad1af342,d9e60802-62f3-4636-aabd-f1a3ad1af342,2015-09-07T03:25:06,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,female,20,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Tatopani-7, Sindupalchowk. We have survived earthquake. We lost everthing. Our future is uncertain and I dont know what will be next. I m in wait and see position.",2015-09-07T09:10:18.000+06:45,2015-09-07T09:15:09.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:4670c520-0f8a-44a2-b414-3995fd48f77d,4670c520-0f8a-44a2-b414-3995fd48f77d,2015-09-07T03:29:58,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,female,25,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Tatopani-7, Sindupalchowk. GOvernment knows about us. But it is not doing anything to help us. we are grateful to chinese organisation and volunteers for this camp. We are informed to leave this place after 12/13 days. Lets see what happens next.",2015-09-07T09:15:09.000+06:45,2015-09-07T09:20:10.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:93a5c911-33c8-455a-a949-ba2900a38c7b,93a5c911-33c8-455a-a949-ba2900a38c7b,2015-09-07T03:34:57,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,female,23,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Tatopani-7,Sindupalchowk. We are getting reliefs from INGOs. I think government is the one who should be taking care of us but it is not. IF government goes on ignoring us like this, I m afraid our worst time is still to come.",2015-09-07T09:20:11.000+06:45,2015-09-07T09:24:46.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:2ab4e96c-a8da-4e3d-b385-19399de81feb,2ab4e96c-a8da-4e3d-b385-19399de81feb,2015-09-07T03:44:05,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,female,26,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Tatopani-7, Sindupalchowk. The earthquake has hit our land so hard that it is dead. We cannot go there and live. What we have is this camp. But we have to leave this place in next 12 /13 days. We have no place to go then. So i hope they would renew agreement about this camp in this land and let us celebrate dasain here. And then we hope for helping hands for our resettlement. I dont think government would do anything.",2015-09-07T09:24:47.000+06:45,2015-09-07T09:34:26.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:eb043e98-5d32-43b7-83bd-67ce43d66fb3,eb043e98-5d32-43b7-83bd-67ce43d66fb3,2015-09-07T03:49:11,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,female,26,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Tatopani-7, Sindupalchowk. I miss my home so much. Here our life is limited within camp. We dont know this place well. The government officials had not showed up yet. We dont know where to go and ask for help. All we are doing is waiting for relief and all we can do is wait for relief. Our priority is resettlement and I would welcome anyone for this.",2015-09-07T09:34:26.000+06:45,2015-09-07T09:41:58.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:0b691a4f-e937-4dd2-9e49-d7813fdd375d,0b691a4f-e937-4dd2-9e49-d7813fdd375d,2015-09-07T03:56:44,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,male,47,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Tatopani-7, Sindupalchowk. Yes we are getting releif as i mentioned above.But government and people should know that now our priorty is our resettlement. IF they keep up ignoring us like this and INGOs stop giving us reliefs we dont know how we will survive.",2015-09-07T09:41:58.000+06:45,2015-09-07T09:47:03.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:5ba5ca1a-b917-46a4-bdce-5c5d24b12a50,5ba5ca1a-b917-46a4-bdce-5c5d24b12a50,2015-09-07T04:01:48,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,male,20,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tatopani-7, Sindupalchowk. we came in this camp after 7-8 days from earthquake. we are getting relief as i mentioned above. we share kitchen with other 5 families. the toilets are a bit far. they are at the edge of camp in jungle. its is difficult to go toilet at night. we face light cuts problems. its our condition here. We are told we have to leave this place in 12/13 days. Then we have no place to go. If i could get my family home then my priority will be job so that i could take good care of family. we are afraid of the fact Government will do nothing.",2015-09-07T09:47:03.000+06:45,2015-09-07T10:01:27.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:377e4cff-fc88-4424-b9bf-21e3bbcc80bd,377e4cff-fc88-4424-b9bf-21e3bbcc80bd,2015-09-07T04:16:12,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,female,59,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Marmi VDC, SIndualchowk. We want to go to our own place. BUt There is extreme threat of soil erosion. We donot have money to go there. We dont know what should we do. Somebody must help us.",2015-09-07T10:01:27.000+06:45,2015-09-07T10:32:54.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:90c21b0f-15cb-4465-8cf5-a8091526840a,90c21b0f-15cb-4465-8cf5-a8091526840a,2015-09-07T04:47:40,,
n/a,n/a,n/a,n/a,n/a,Bode Camp,n/a,male,50,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Marmi VDC, SIndupalchowk. How can i say I have a priority? I cant because I have priorities. I have children. I have to give them food, shelter, clothes,education. i need employment and home.",2015-09-07T10:43:03.000+06:45,2015-09-07T11:01:11.000+06:45,09/07/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:FBOdIume4rKqMS3B,no phonenumber property in enketo,uuid:4ca74b63-caf4-4d85-9fd4-1003651f5a2a,4ca74b63-caf4-4d85-9fd4-1003651f5a2a,2015-09-07T05:16:12,,
